25939,Підлісецький Лев Теофілович,"Об'єднання ""Самопоміч"""
317,Побер Ігор Миколайович,Блок Петра Порошенка
23207,Подоляк Ірина Ігорівна,"Об'єднання ""Самопоміч"""
21342,Поляков Максим Анатолійович,Народний фронт
25047,Помазанов Андрій Віталійович,Народний фронт
323,Пономарьов Олександр Сергійович,"Група ""Воля народу"""
19980,Поплавський Михайло Михайлович,"Група ""Воля народу"""
24615,Попов Ігор Володимирович,Радикальна партія Ляшка
21822,Порошенко Олексій Петрович,Блок Петра Порошенка
326,Пресман Олександр Семенович,"Група ""Економічний розвиток"""
25041,Присяжнюк Олександр Анатолійович,Народний фронт
329,Продан Оксана Петрівна,Блок Петра Порошенка
25936,Пташник Вікторія Юріївна,"Об'єднання ""Самопоміч"""
24864,Рабінович Вадим Зіновійович,Опозиційний блок
333,Развадовський Віктор Йосипович,"Група ""Воля народу"""
19641,Ревега Олександр Васильович,Блок Петра Порошенка
20801,Река Андрій Олександрович,Народний фронт
21366,Рибак Іван Петрович,Блок Петра Порошенка
24622,Рибалка Сергій Вікторович,Радикальна партія Ляшка
24392,Рибчинський Євген Юрійович,Блок Петра Порошенка
338,Різаненко Павло Олександрович,Блок Петра Порошенка
22401,Розенблат Борислав Соломонович,Блок Петра Порошенка
339,Розенко Павло Валерійович,None
25943,Романова Анна Анатоліївна,"Об'єднання ""Самопоміч"""
25050,Романовський Олександр Володимирович,Народний фронт
20068,Романюк Віктор Миколайович,Народний фронт
340,Романюк Роман Сергійович,Блок Петра Порошенка
21311,Рудик Сергій Ярославович,Не входить до складу жодної фракції
26677,Рябчин Олексій Михайлович,"ВО ""Батьківщина"""
19754,Сабашук Петро Павлович,Блок Петра Порошенка
26673,Савченко Надія Вікторівна,"ВО ""Батьківщина"""
26319,Савченко Олексій Юрійович,Блок Петра Порошенка
344,Савчук Юрій Петрович,Народний фронт
22353,Сажко Сергій Миколайович,Опозиційний блок
349,Святаш Дмитро Володимирович,Не входить до складу жодної фракції
25940,Семенуха Роман Сергійович,"Об'єднання ""Самопоміч"""
25915,Семенченко Семен Ігорович,"Об'єднання ""Самопоміч"""
18451,Семерак Остап Михайлович,Народний фронт
25934,Сидорович Руслан Михайлович,"Об'єднання ""Самопоміч"""
18468,Сидорчук Вадим Васильович,Народний фронт
21629,Силантьєв Денис Олегович,Радикальна партія Ляшка
25917,Сироїд Оксана Іванівна,Не входить до складу жодної фракції
25938,Сисоєнко Ірина Володимирівна,"Об'єднання ""Самопоміч"""
24866,Скорик Микола Леонідович,Опозиційний блок
25916,Скрипник Олексій Олексійович,"Об'єднання ""Самопоміч"""
24621,Скуратовський Сергій Іванович,Радикальна партія Ляшка
25926,Соболєв Єгор Вікторович,"Об'єднання ""Самопоміч"""
366,Соболєв Сергій Владиславович,"ВО ""Батьківщина"""
18239,Соловей Юрій Ігорович,Блок Петра Порошенка
22195,Солод Юрій Васильович,Опозиційний блок
368,Сольвар Руслан Миколайович,Блок Петра Порошенка
25043,Соляр Володимир Миронович,Народний фронт
25924,Сотник Олена Сергіївна,"Об'єднання ""Самопоміч"""
18481,Сочка Олександр Олександрович,Народний фронт
24051,Співаковський Олександр Володимирович,Блок Петра Порошенка
19150,Спориш Іван Дмитрович,Блок Петра Порошенка
18509,Сташук Віталій Филимонович,Народний фронт
25049,Стеценко Дмитро Олександрович,Народний фронт
372,Стець Юрій Ярославович,None
18525,Сторожук Дмитро Анатолійович,Народний фронт
20904,Сугоняко Олександр Леонідович,Блок Петра Порошенка
21605,Супруненко Олександр Іванович,Не входить до складу жодної фракції
25919,Суслова Ірина Миколаївна,"Об'єднання ""Самопоміч"""
25027,Сюмар Вікторія Петрівна,Народний фронт
382,Тарасюк Борис Іванович,"ВО ""Батьківщина"""
22333,Тарута Сергій Олексійович,Не входить до складу жодної фракції
25026,Тетерук Андрій Анатолійович,Народний фронт
26674,Тимошенко Юлія Володимирівна,"ВО ""Батьківщина"""
22705,Тимошенко Юрій Володимирович,Народний фронт
25029,Тимчук Дмитро Борисович,Народний фронт
21379,Тіміш Григорій Іванович,Блок Петра Порошенка
388,Ткачук Геннадій Віталійович,Блок Петра Порошенка
389,Томенко Микола Володимирович,Блок Петра Порошенка
21649,Третьяков Олександр Юрійович,Блок Петра Порошенка
26318,Тригубенко Сергій Миколайович,Блок Петра Порошенка
393,Турчинов Олександр Валентинович,Народний фронт
19644,Унгурян Павло Якимович,Народний фронт
23598,Урбанський Олександр Ігорович,Блок Петра Порошенка
20635,Усов Костянтин Глібович,Блок Петра Порошенка
397,Фаєрмарк Сергій Олександрович,Народний фронт
399,Федорук Микола Трохимович,Народний фронт
402,Фельдман Олександр Борисович,Не входить до складу жодної фракції
21965,Філатов Борис Альбертович,Не входить до складу жодної фракції
1886,Фірсов Єгор Павлович,Блок Петра Порошенка
26312,Фріз Ірина Василівна,Блок Петра Порошенка
22571,Фролов Микола Олександрович,Блок Петра Порошенка
404,Фурсін Іван Геннадійович,"Група ""Воля народу"""
21154,Хлань Сергій Володимирович,Блок Петра Порошенка
407,Хміль Михайло Михайлович,Народний фронт
408,Хомутиннік Віталій Юрійович,"Група ""Економічний розвиток"""
23406,Чекіта Геннадій Леонідович,Блок Петра Порошенка
18234,Чепинога Віталій Михайлович,Блок Петра Порошенка
26320,Червакова Ольга Валеріївна,Блок Петра Порошенка
26309,Черненко Олександр Миколайович,Блок Петра Порошенка
21009,Чижмарь Юрій Васильович,Радикальна партія Ляшка
20459,Чорновол Тетяна Миколаївна,Народний фронт
420,Чумак Віктор Васильович,Блок Петра Порошенка
422,Шаповалов Юрій Анатолійович,"Група ""Воля народу"""
1889,Шевченко Олександр Леонідович,Блок Петра Порошенка
429,Шенцев Дмитро Олексійович,Не входить до складу жодної фракції
24140,Шинькович Андрій Васильович,Блок Петра Порошенка
430,Шипко Андрій Федорович,"Група ""Економічний розвиток"""
431,Шкварилюк Володимир Васильович,Народний фронт
432,Шкіря Ігор Миколайович,"Група ""Економічний розвиток"""
26675,Шкрум Альона Іванівна,"ВО ""Батьківщина"""
433,Шлемко Дмитро Васильович,"ВО ""Батьківщина"""
434,Шпенов Дмитро Юрійович,Опозиційний блок
24874,Шурма Ігор Михайлович,Опозиційний блок
437,Шуфрич Нестор Іванович,Опозиційний блок
17209,Шухевич Юрій-Богдан Романович,Радикальна партія Ляшка
26310,Южаніна Ніна Петрівна,Блок Петра Порошенка
18542,Юрик Тарас Зіновійович,Блок Петра Порошенка
20427,Юринець Оксана Василівна,Блок Петра Порошенка
19129,Юрчишин Петро Васильович,Блок Петра Порошенка
20864,Яніцький Василь Петрович,Блок Петра Порошенка
22942,Яриніч Костянтин Володимирович,Блок Петра Порошенка
22114,Ярош Дмитро Анатолійович,Не входить до складу жодної фракції
443,Яценко Антон Володимирович,"Група ""Економічний розвиток"""
444,Яценюк Арсеній Петрович,None
18484,Чубаров Рефат Абдурахманович,Блок Петра Порошенка
25946,Немировський Андрій Валентинович,Блок Петра Порошенка
24614,Огнєвіч Злата Леонідівна,None
25947,Зубач Любомир Львович,"Об'єднання ""Самопоміч"""
119,Дубіль Валерій Олександрович,"ВО ""Батьківщина"""
34323,Березенко Сергій Іванович,Блок Петра Порошенка
26333,Шверк Григорій Аронович,Блок Петра Порошенка
26334,Севрюков Владислав Володимирович,Блок Петра Порошенка
20572,Підберезняк Вадим Іванович,Народний фронт
24624,Юзькова Тетяна Леонідівна,Радикальна партія Ляшка
26336,Білоцерковець Дмитро Олександрович,Блок Петра Порошенка
48,Бригинець Олександр Михайлович,Блок Петра Порошенка
26338,Саврасов Максим Віталійович,Блок Петра Порошенка
18512,Мепарішвілі Хвича Нодарович,Народний фронт
163,Карпунцов Валерій Віталійович,Блок Петра Порошенка
25054,Єдаков Ярослав Юрійович,Народний фронт
26337,Велікін Олег Маркович,Блок Петра Порошенка
19666,Білозір Оксана Володимирівна,Блок Петра Порошенка
